code,name,muni_code,dc_code,prov_code,population,area_km2
PD210001,St Francis Bay,EC108,DC10,EC,9626,117.68
PD210002,Jeffreys Bay,EC108,DC10,EC,36704,260.57
PD210003,Humansdorp,EC108,DC10,EC,30198,1339.42
PD210004,Storms River,EC109,DC10,EC,13147,694.58
PD210005,Kareedouw,EC109,DC10,EC,10273,1233.49
PD210006,Thornhill,EC108,DC10,EC,6062,368.27
PD210007,Hankey,EC108,DC10,EC,20844,381.38
PD210008,Joubertina,EC109,DC10,EC,12895,1251.95
PD210009,Patensie,EC108,DC10,EC,3787,965.86
PD210010,Kariega,EC106,DC10,EC,37147,1547.87
PD210011,Alexandria,EC106,DC10,EC,18853,907.34
PD210012,Kinkelbos,EC106,DC10,EC,2705,421.39
PD210013,Kenton On Sea,EC105,DC10,EC,17544,247.95
PD210014,Baviaanskloof,EC101,DC10,EC,420,1420.65
PD210015,Port Alfred,EC105,DC10,EC,16022,366.60
PD210016,Addo,EC106,DC10,EC,25004,506.93
PD210017,Nemato,EC105,DC10,EC,24184,60.63
PD210018,Seven Fountains,EC104,DC10,EC,671,635.60
PD210019,Bathurst,EC105,DC10,EC,10702,458.88
PD210020,Paterson,EC106,DC10,EC,9132,1031.49
PD210021,Wolwefontein,EC106,DC10,EC,337,1550.20
PD210022,Seafield,EC105,DC10,EC,1351,402.60
PD210023,Nqweba,EC106,DC10,EC,17755,1301.76
PD210024,Steytlerville,EC101,DC10,EC,6831,3276.12
PD210025,Makhanda,EC104,DC10,EC,41445,903.23
PD210026,Alicedale,EC104,DC10,EC,4818,437.58
PD210027,Joza,EC104,DC10,EC,49429,125.16
PD210028,Willowmore,EC101,DC10,EC,13159,4339.34
PD210029,Committees,EC104,DC10,EC,98,366.10
PD210030,Riebeeck East,EC104,DC10,EC,679,782.97
PD210031,Fort Brown,EC104,DC10,EC,675,1264.97
PD210032,Jansenville,EC101,DC10,EC,9594,3315.08
PD210033,Klipplaat,EC101,DC10,EC,4471,1234.80
PD210034,Rietbron,EC101,DC10,EC,2032,2014.86
PD210035,Cookhouse,EC102,DC10,EC,10609,2080.54
PD210036,KwaNojoli,EC102,DC10,EC,29987,3873.22
PD210037,Bedford,EC102,DC10,EC,14954,2124.24
PD210038,Pearston,EC102,DC10,EC,8565,2563.32
PD210039,Aberdeen,EC101,DC10,EC,12870,6799.98
PD210040,Graaff-Reinet,EC101,DC10,EC,51730,6855.16
PD212001,Moyeni,EC126,DC12,EC,7744,240.20
